,OrderID,Tanggal_Pesanan,Produk,Kategori,Wilayah,Jumlah,Harga_Satuan,Metode_Pembayaran,Diskon,Total_Penjualan,Bulan
44,45,2025-05-09 15:24:43.861623,Smartwatch,Aksesoris,Surabaya,4,2251330,E-Wallet,0.0,9005320.0,2025-05
45,46,2025-03-27 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,2,1271248,E-Wallet,0.05,2415371.1999999997,2025-03
46,47,2025-02-26 15:24:43.861623,Monitor Curved,Periferal,Jakarta,4,6657851,Debit Card,0.0,26631404.0,2025-02
47,48,2025-01-11 15:24:43.861623,Laptop Gaming,Elektronik,Medan,1,21695306,Credit Card,0.0,21695306.0,2025-01
48,49,2025-01-06 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,1484446,Bank Transfer,0.1,5344005.600000001,2025-01
49,50,2025-03-28 15:24:43.861623,Smartphone,Elektronik,Denpasar,3,5607411,Bank Transfer,0.05,15981121.35,2025-03
50,51,2025-02-19 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,2,1359325,Debit Card,0.0,2718650.0,2025-02
51,52,2025-05-07 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,2,2429057,E-Wallet,0.0,4858114.0,2025-05
52,53,2025-03-22 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,3,525019,Credit Card,0.0,1575057.0,2025-03
53,54,2025-03-30 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,4,897218,E-Wallet,0.0,3588872.0,2025-03
54,55,2025-04-18 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,1,1117052,Bank Transfer,0.0,1117052.0,2025-04
55,56,2025-06-18 15:24:43.861623,Smartphone,Elektronik,Medan,3,10596585,E-Wallet,0.0,31789755.0,2025-06
56,57,2025-01-05 15:24:43.861623,Monitor Curved,Periferal,Denpasar,3,6913705,Bank Transfer,0.0,20741115.0,2025-01
57,58,2025-06-21 15:24:43.861623,Laptop Gaming,Elektronik,Makassar,4,21269324,Credit Card,0.05,80823431.2,2025-06
58,59,2025-02-01 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,2,1401928,Credit Card,0.05,2663663.1999999997,2025-02
59,60,2025-03-19 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,4,724127,Debit Card,0.05,2751682.6,2025-03
60,61,2025-06-10 15:24:43.861623,Smartwatch,Aksesoris,Denpasar,3,2800343,Debit Card,0.0,8401029.0,2025-06
61,62,2025-02-16 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,3,928864,E-Wallet,0.15,2368603.1999999997,2025-02
62,63,2025-04-11 15:24:43.861623,Monitor Curved,Periferal,Jakarta,2,3244289,Credit Card,0.1,5839720.2,2025-04
63,64,2025-05-09 15:24:43.861623,Keyboard Mekanik,Periferal,Jakarta,2,842939,Credit Card,0.1,1517290.2,2025-05
64,65,2024-12-30 15:24:43.861623,Smartphone,Elektronik,Jakarta,2,6282972,Debit Card,0.1,11309349.6,2024-12
65,66,2025-05-11 15:24:43.861623,Smartphone,Elektronik,Medan,4,11692832,Bank Transfer,0.1,42094195.2,2025-05
66,67,2025-02-20 15:24:43.861623,Smartphone,Elektronik,Medan,2,7414473,E-Wallet,0.0,14828946.0,2025-02
67,68,2025-04-13 15:24:43.861623,Smartphone,Elektronik,Medan,3,5711793,E-Wallet,0.0,17135379.0,2025-04
68,69,2025-01-01 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,3,2162073,Debit Card,0.05,6161908.05,2025-01
69,70,2025-02-20 15:24:43.861623,Keyboard Mekanik,Periferal,Medan,1,952959,Credit Card,0.05,905311.0499999999,2025-02
70,71,2025-05-23 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,4,17319124,Debit Card,0.05,65812671.199999996,2025-05
71,72,2025-02-10 15:24:43.861623,Laptop Gaming,Elektronik,Medan,1,18923227,Debit Card,0.0,18923227.0,2025-02
72,73,2025-06-08 15:24:43.861623,Smartphone,Elektronik,Medan,3,5073290,Debit Card,0.0,15219870.0,2025-06
73,74,2025-01-11 15:24:43.861623,Smartwatch,Aksesoris,Surabaya,1,2138454,Debit Card,0.0,2138454.0,2025-01
74,75,2025-04-02 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,3,1048321,Bank Transfer,0.1,2830466.7,2025-04
75,76,2025-02-14 15:24:43.861623,Laptop Gaming,Elektronik,Jakarta,1,17518970,Bank Transfer,0.0,17518970.0,2025-02
76,77,2025-01-12 15:24:43.861623,Keyboard Mekanik,Periferal,Makassar,2,1104590,Credit Card,0.0,2209180.0,2025-01
77,78,2025-02-06 15:24:43.861623,Monitor Curved,Periferal,Denpasar,1,5088272,Debit Card,0.0,5088272.0,2025-02
78,79,2025-03-20 15:24:43.861623,Laptop Gaming,Elektronik,Medan,2,16055675,Bank Transfer,0.0,32111350.0,2025-03
79,80,2025-04-18 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,2,2522550,Credit Card,0.1,4540590.0,2025-04
80,81,2025-02-19 15:24:43.861623,Monitor Curved,Periferal,Surabaya,4,5564375,Debit Card,0.05,21144625.0,2025-02
81,82,2025-01-21 15:24:43.861623,Smartphone,Elektronik,Medan,2,10436754,E-Wallet,0.05,19829832.599999998,2025-01
82,83,2025-05-31 15:24:43.861623,Laptop Gaming,Elektronik,Makassar,2,15965188,Bank Transfer,0.0,31930376.0,2025-05
83,84,2025-05-01 15:24:43.861623,Laptop Gaming,Elektronik,Jakarta,1,17161088,Credit Card,0.05,16303033.6,2025-05
84,85,2025-02-07 15:24:43.861623,Laptop Gaming,Elektronik,Jakarta,3,23018006,E-Wallet,0.0,69054018.0,2025-02
85,86,2025-06-03 15:24:43.861623,Monitor Curved,Periferal,Medan,4,4320484,Debit Card,0.05,16417839.2,2025-06
86,87,2025-01-12 15:24:43.861623,Keyboard Mekanik,Periferal,Surabaya,2,1125836,Debit Card,0.0,2251672.0,2025-01
87,88,2025-02-11 15:24:43.861623,Laptop Gaming,Elektronik,Jakarta,4,15487510,Debit Card,0.0,61950040.0,2025-02
88,89,2025-03-03 15:24:43.861623,Smartphone,Elektronik,Jakarta,1,9354986,Bank Transfer,0.05,8887236.7,2025-03
89,90,2025-03-27 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,2,22609964,Credit Card,0.1,40697935.2,2025-03
90,91,2025-03-09 15:24:43.861623,Laptop Gaming,Elektronik,Makassar,1,20795250,E-Wallet,0.0,20795250.0,2025-03
91,92,2025-01-06 15:24:43.861623,Monitor Curved,Periferal,Denpasar,4,6055447,Credit Card,0.1,21799609.2,2025-01
92,93,2025-03-26 15:24:43.861623,Smartphone,Elektronik,Medan,1,4673879,Bank Transfer,0.0,4673879.0,2025-03
93,94,2025-05-06 15:24:43.861623,Smartphone,Elektronik,Surabaya,4,4780752,Credit Card,0.0,19123008.0,2025-05
94,95,2025-05-13 15:24:43.861623,Smartphone,Elektronik,Jakarta,1,6293331,Bank Transfer,0.0,6293331.0,2025-05
95,96,2025-03-01 15:24:43.861623,Smartwatch,Aksesoris,Surabaya,4,1574772,Debit Card,0.0,6299088.0,2025-03
96,97,2025-05-16 15:24:43.861623,Smartphone,Elektronik,Surabaya,3,6764455,E-Wallet,0.0,20293365.0,2025-05
97,98,2025-03-19 15:24:43.861623,Smartwatch,Aksesoris,Medan,1,841214,Debit Card,0.0,841214.0,2025-03
98,99,2025-05-13 15:24:43.861623,Smartphone,Elektronik,Surabaya,1,11791690,Credit Card,0.0,11791690.0,2025-05
99,100,2025-06-09 15:24:43.861623,Monitor Curved,Periferal,Jakarta,3,2201139,Debit Card,0.1,5943075.3,2025-06
100,101,2025-06-09 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,3,1728494,E-Wallet,0.0,5185482.0,2025-06
101,102,2025-01-30 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,1,18904722,Debit Card,0.05,17959485.9,2025-01
102,103,2025-04-30 15:24:43.861623,Smartphone,Elektronik,Jakarta,3,8215622,E-Wallet,0.0,24646866.0,2025-04
103,104,2025-01-02 15:24:43.861623,Keyboard Mekanik,Periferal,Jakarta,2,1049714,E-Wallet,0.05,1994456.5999999999,2025-01
104,105,2025-02-07 15:24:43.861623,Keyboard Mekanik,Periferal,Denpasar,4,988315,Debit Card,0.0,3953260.0,2025-02
105,106,2025-01-25 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,392601,Bank Transfer,0.0,1570404.0,2025-01
106,107,2025-05-12 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,1378532,Credit Card,0.0,5514128.0,2025-05
107,108,2025-03-10 15:24:43.861623,Keyboard Mekanik,Periferal,Makassar,2,1686916,Bank Transfer,0.0,3373832.0,2025-03
108,109,2025-01-09 15:24:43.861623,Headphone Wireless,Aksesoris,Denpasar,3,929085,Bank Transfer,0.0,2787255.0,2025-01
109,110,2025-06-08 15:24:43.861623,Laptop Gaming,Elektronik,Medan,3,24906695,Debit Card,0.05,70984080.75,2025-06
110,111,2025-01-30 15:24:43.861623,Keyboard Mekanik,Periferal,Makassar,1,821486,Credit Card,0.1,739337.4,2025-01
111,112,2025-02-14 15:24:43.861623,Smartphone,Elektronik,Surabaya,3,3603103,Credit Card,0.1,9728378.1,2025-02
112,113,2025-05-28 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,1,339279,Bank Transfer,0.05,322315.05,2025-05
113,114,2025-02-28 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,2,16989968,Debit Card,0.0,33979936.0,2025-02
114,115,2025-02-03 15:24:43.861623,Laptop Gaming,Elektronik,Medan,4,20303943,Credit Card,0.0,81215772.0,2025-02
115,116,2025-04-06 15:24:43.861623,Smartphone,Elektronik,Medan,4,8497191,Bank Transfer,0.0,33988764.0,2025-04
116,117,2025-06-18 15:24:43.861623,Monitor Curved,Periferal,Surabaya,4,7933384,Credit Card,0.0,31733536.0,2025-06
117,118,2025-04-11 15:24:43.861623,Smartphone,Elektronik,Jakarta,3,4257008,Debit Card,0.0,12771024.0,2025-04
118,119,2025-02-01 15:24:43.861623,Smartphone,Elektronik,Medan,1,9473507,Debit Card,0.0,9473507.0,2025-02
119,120,2025-04-08 15:24:43.861623,Smartphone,Elektronik,Jakarta,1,10437693,Debit Card,0.0,10437693.0,2025-04
120,121,2025-06-21 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,2,1243693,Credit Card,0.0,2487386.0,2025-06
121,122,2025-05-08 15:24:43.861623,Keyboard Mekanik,Periferal,Medan,3,1901352,E-Wallet,0.1,5133650.4,2025-05
122,123,2024-12-29 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,2,423257,Credit Card,0.05,804188.2999999999,2024-12
123,124,2025-01-02 15:24:43.861623,Headphone Wireless,Aksesoris,Makassar,1,1279062,E-Wallet,0.0,1279062.0,2025-01
124,125,2025-05-19 15:24:43.861623,Keyboard Mekanik,Periferal,Makassar,1,1717630,Debit Card,0.1,1545867.0,2025-05
125,126,2025-04-10 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,1275217,Bank Transfer,0.15,4335737.8,2025-04
126,127,2025-01-24 15:24:43.861623,Laptop Gaming,Elektronik,Medan,3,23173321,E-Wallet,0.0,69519963.0,2025-01
127,128,2025-05-14 15:24:43.861623,Smartphone,Elektronik,Medan,1,10899284,Debit Card,0.0,10899284.0,2025-05
128,129,2025-01-12 15:24:43.861623,Smartphone,Elektronik,Jakarta,4,4003171,Debit Card,0.0,16012684.0,2025-01
129,130,2025-03-28 15:24:43.861623,Smartphone,Elektronik,Jakarta,3,10214938,E-Wallet,0.1,27580332.6,2025-03
130,131,2025-02-08 15:24:43.861623,Smartphone,Elektronik,Jakarta,2,5900737,Bank Transfer,0.1,10621326.6,2025-02
131,132,2025-05-01 15:24:43.861623,Monitor Curved,Periferal,Surabaya,3,3370485,Debit Card,0.0,10111455.0,2025-05
132,133,2025-06-25 15:24:43.861623,Smartphone,Elektronik,Medan,3,10045900,E-Wallet,0.0,30137700.0,2025-06
133,134,2025-03-01 15:24:43.861623,Headphone Wireless,Aksesoris,Makassar,1,412990,Bank Transfer,0.0,412990.0,2025-03
134,135,2025-04-03 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,1,1818095,Bank Transfer,0.0,1818095.0,2025-04
135,136,2025-02-18 15:24:43.861623,Smartphone,Elektronik,Jakarta,3,3981883,Debit Card,0.0,11945649.0,2025-02
136,137,2025-04-03 15:24:43.861623,Monitor Curved,Periferal,Denpasar,1,3668321,Credit Card,0.1,3301488.9,2025-04
137,138,2025-05-09 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,1,1013226,Credit Card,0.05,962564.7,2025-05
138,139,2025-05-28 15:24:43.861623,Smartphone,Elektronik,Surabaya,1,6293705,Debit Card,0.1,5664334.5,2025-05
139,140,2025-05-20 15:24:43.861623,Smartwatch,Aksesoris,Medan,4,2318702,Bank Transfer,0.1,8347327.2,2025-05
140,141,2025-06-17 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,326806,Debit Card,0.05,1241862.8,2025-06
141,142,2025-01-26 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,3,715384,E-Wallet,0.0,2146152.0,2025-01
142,143,2025-02-02 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,1,370119,Credit Card,0.05,351613.05,2025-02
143,144,2025-01-10 15:24:43.861623,Headphone Wireless,Aksesoris,Jakarta,4,929720,E-Wallet,0.0,3718880.0,2025-01
144,145,2025-06-06 15:24:43.861623,Monitor Curved,Periferal,Medan,3,3519603,Debit Card,0.05,10030868.549999999,2025-06
145,146,2025-03-09 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,1,16750740,Debit Card,0.0,16750740.0,2025-03
146,147,2025-03-24 15:24:43.861623,Smartphone,Elektronik,Jakarta,2,3863403,Bank Transfer,0.05,7340465.699999999,2025-03
147,148,2025-01-25 15:24:43.861623,Laptop Gaming,Elektronik,Medan,1,24268511,Bank Transfer,0.0,24268511.0,2025-01
148,149,2025-03-04 15:24:43.861623,Monitor Curved,Periferal,Makassar,1,2885421,Bank Transfer,0.0,2885421.0,2025-03
149,150,2025-06-16 15:24:43.861623,Smartphone,Elektronik,Jakarta,4,7278384,E-Wallet,0.0,29113536.0,2025-06
150,151,2025-02-11 15:24:43.861623,Keyboard Mekanik,Periferal,Surabaya,3,1701367,Bank Transfer,0.0,5104101.0,2025-02
151,152,2025-02-28 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,3,1278836,Debit Card,0.05,3644682.5999999996,2025-02
152,153,2025-05-11 15:24:43.861623,Monitor Curved,Periferal,Jakarta,4,5223522,Bank Transfer,0.05,19849383.599999998,2025-05
153,154,2025-01-25 15:24:43.861623,Keyboard Mekanik,Periferal,Surabaya,1,692985,Credit Card,0.0,692985.0,2025-01
154,155,2025-01-25 15:24:43.861623,Monitor Curved,Periferal,Medan,2,4217181,Bank Transfer,0.0,8434362.0,2025-01
155,156,2025-04-15 15:24:43.861623,Keyboard Mekanik,Periferal,Makassar,1,579830,E-Wallet,0.0,579830.0,2025-04
156,157,2025-02-10 15:24:43.861623,Smartphone,Elektronik,Makassar,1,4556518,Credit Card,0.0,4556518.0,2025-02
157,158,2025-03-22 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,2,861931,Credit Card,0.0,1723862.0,2025-03
158,159,2025-01-27 15:24:43.861623,Smartphone,Elektronik,Medan,4,7113640,Credit Card,0.1,25609104.0,2025-01
159,160,2025-03-13 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,3,19500398,E-Wallet,0.0,58501194.0,2025-03
160,161,2025-05-05 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,4,983404,Debit Card,0.0,3933616.0,2025-05
161,162,2025-03-30 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,687732,Bank Transfer,0.0,2750928.0,2025-03
162,163,2025-05-06 15:24:43.861623,Smartphone,Elektronik,Jakarta,1,10880317,Credit Card,0.0,10880317.0,2025-05
163,164,2025-04-28 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,3,1166183,Credit Card,0.0,3498549.0,2025-04
164,165,2025-01-24 15:24:43.861623,Keyboard Mekanik,Periferal,Medan,3,1022893,Credit Card,0.05,2915245.05,2025-01
165,166,2025-04-28 15:24:43.861623,Headphone Wireless,Aksesoris,Surabaya,4,1141965,Debit Card,0.0,4567860.0,2025-04
166,167,2025-04-23 15:24:43.861623,Smartwatch,Aksesoris,Denpasar,2,1044710,Debit Card,0.0,2089420.0,2025-04
167,168,2024-12-31 15:24:43.861623,Monitor Curved,Periferal,Jakarta,4,5895958,E-Wallet,0.0,23583832.0,2024-12
168,169,2025-04-10 15:24:43.861623,Keyboard Mekanik,Periferal,Surabaya,2,1032543,Debit Card,0.0,2065086.0,2025-04
169,170,2025-06-01 15:24:43.861623,Smartwatch,Aksesoris,Jakarta,3,1151157,Bank Transfer,0.0,3453471.0,2025-06
170,171,2025-05-14 15:24:43.861623,Monitor Curved,Periferal,Makassar,4,7300885,E-Wallet,0.15,24823009.0,2025-05
171,172,2025-02-28 15:24:43.861623,Keyboard Mekanik,Periferal,Medan,1,1665898,E-Wallet,0.05,1582603.0999999999,2025-02
172,173,2025-06-11 15:24:43.861623,Keyboard Mekanik,Periferal,Surabaya,4,1638360,Bank Transfer,0.0,6553440.0,2025-06
173,174,2025-02-17 15:24:43.861623,Laptop Gaming,Elektronik,Medan,3,17120539,Bank Transfer,0.0,51361617.0,2025-02
174,175,2025-06-18 15:24:43.861623,Smartphone,Elektronik,Surabaya,1,3880412,Bank Transfer,0.0,3880412.0,2025-06
175,176,2025-05-29 15:24:43.861623,Smartphone,Elektronik,Makassar,1,8947148,E-Wallet,0.0,8947148.0,2025-05
176,177,2025-02-25 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,2,18231185,E-Wallet,0.05,34639251.5,2025-02
177,178,2025-04-25 15:24:43.861623,Smartwatch,Aksesoris,Surabaya,1,2941281,E-Wallet,0.05,2794216.9499999997,2025-04
178,179,2025-06-06 15:24:43.861623,Smartwatch,Aksesoris,Denpasar,1,2392110,Bank Transfer,0.0,2392110.0,2025-06
179,180,2025-04-03 15:24:43.861623,Monitor Curved,Periferal,Jakarta,4,2317875,Bank Transfer,0.0,9271500.0,2025-04
180,181,2025-06-26 15:24:43.861623,Laptop Gaming,Elektronik,Jakarta,3,20923098,Credit Card,0.0,62769294.0,2025-06
181,182,2025-04-20 15:24:43.861623,Keyboard Mekanik,Periferal,Medan,2,1628337,Debit Card,0.1,2931006.6,2025-04
182,183,2025-02-28 15:24:43.861623,Smartwatch,Aksesoris,Denpasar,4,1184814,Credit Card,0.05,4502293.2,2025-02
183,184,2025-02-18 15:24:43.861623,Smartwatch,Aksesoris,Surabaya,1,1926134,Bank Transfer,0.0,1926134.0,2025-02
184,185,2025-01-09 15:24:43.861623,Keyboard Mekanik,Periferal,Jakarta,1,1993431,E-Wallet,0.0,1993431.0,2025-01
185,186,2025-02-05 15:24:43.861623,Smartwatch,Aksesoris,Surabaya,2,2330668,Bank Transfer,0.05,4428269.2,2025-02
186,187,2025-05-07 15:24:43.861623,Smartphone,Elektronik,Surabaya,3,4599908,Debit Card,0.0,13799724.0,2025-05
187,188,2025-05-08 15:24:43.861623,Monitor Curved,Periferal,Jakarta,2,4164412,Credit Card,0.0,8328824.0,2025-05
188,189,2025-04-20 15:24:43.861623,Smartphone,Elektronik,Medan,4,8309792,Credit Card,0.0,33239168.0,2025-04
189,190,2025-04-08 15:24:43.861623,Laptop Gaming,Elektronik,Denpasar,2,17353847,E-Wallet,0.05,32972309.299999997,2025-04
190,191,2025-04-20 15:24:43.861623,Monitor Curved,Periferal,Surabaya,1,4630146,Credit Card,0.0,4630146.0,2025-04
191,192,2025-03-19 15:24:43.861623,Smartphone,Elektronik,Surabaya,4,5892478,Credit Card,0.0,23569912.0,2025-03
192,193,2025-04-20 15:24:43.861623,Monitor Curved,Periferal,Surabaya,1,3984117,Bank Transfer,0.1,3585705.3000000003,2025-04
193,194,2024-12-30 15:24:43.861623,Smartphone,Elektronik,Jakarta,3,8949852,Credit Card,0.0,26849556.0,2024-12
194,195,2025-05-07 15:24:43.861623,Keyboard Mekanik,Periferal,Makassar,1,429725,Credit Card,0.0,429725.0,2025-05
195,196,2025-02-20 15:24:43.861623,Smartphone,Elektronik,Surabaya,1,3888036,Credit Card,0.0,3888036.0,2025-02
196,197,2025-03-25 15:24:43.861623,Keyboard Mekanik,Periferal,Surabaya,2,1274631,E-Wallet,0.0,2549262.0,2025-03
197,198,2025-05-06 15:24:43.861623,Monitor Curved,Periferal,Medan,1,4662761,E-Wallet,0.05,4429622.95,2025-05
198,199,2025-05-24 15:24:43.861623,Laptop Gaming,Elektronik,Surabaya,4,21524559,Bank Transfer,0.0,86098236.0,2025-05
199,200,2025-05-03 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,4,1282599,Credit Card,0.0,5130396.0,2025-05
200,201,2025-05-07 15:24:43.861623,Keyboard Mekanik,Periferal,Jakarta,3,815872,E-Wallet,0.0,2447616.0,2025-05
201,202,2025-02-19 15:24:43.861623,Headphone Wireless,Aksesoris,Makassar,4,355147,E-Wallet,0.05,1349558.5999999999,2025-02
202,203,2025-06-18 15:24:43.861623,Laptop Gaming,Elektronik,Denpasar,2,17398083,Bank Transfer,0.05,33056357.7,2025-06
203,204,2025-06-06 15:24:43.861623,Headphone Wireless,Aksesoris,Medan,3,544839,Debit Card,0.0,1634517.0,2025-06
204,205,2025-06-06 15:24:43.861623,Headphone Wireless,Aksesoris,Denpasar,4,756162,Credit Card,0.0,3024648.0,2025-06
